attack,byz_ratio,byz_count,round,aggregator,threshold,weighted_f1,f1,accuracy,fpr,roc_auc
backdoor,20%,4,1,fedavg,0.4,0.960913,0.964189,0.956829,0.044147,0.981668
backdoor,20%,4,1,multikrum,0.39,0.962965,0.964071,0.956839,0.038745,0.981621
backdoor,20%,4,1,trimmedmean,0.47,0.961815,0.957731,0.94975,0.031877,0.981903
backdoor,20%,4,2,fedavg,0.4,0.960374,0.96375,0.956299,0.04484,0.981041
backdoor,20%,4,2,multikrum,0.47,0.961482,0.957572,0.94955,0.032479,0.981159
backdoor,20%,4,2,trimmedmean,0.44,0.960299,0.958537,0.950511,0.036979,0.981096
backdoor,20%,4,3,fedavg,0.42,0.959783,0.962022,0.954325,0.043676,0.980491
backdoor,20%,4,3,multikrum,0.42,0.960273,0.960577,0.952757,0.040197,0.98059
backdoor,20%,4,3,trimmedmean,0.39,0.959537,0.962227,0.954536,0.044618,0.980351
backdoor,20%,4,4,fedavg,0.4,0.959416,0.962451,0.954778,0.045272,0.980082
backdoor,20%,4,4,multikrum,0.42,0.959621,0.959697,0.951734,0.040498,0.980108
backdoor,20%,4,4,trimmedmean,0.41,0.959218,0.960812,0.952937,0.043245,0.979814
backdoor,20%,4,5,fedavg,0.41,0.959307,0.962076,0.954351,0.044971,0.979765
backdoor,20%,4,5,multikrum,0.42,0.959344,0.959605,0.951611,0.04106,0.979656
backdoor,20%,4,5,trimmedmean,0.41,0.959092,0.961689,0.953904,0.044919,0.979451
backdoor,20%,4,6,fedavg,0.4,0.959293,0.962054,0.954325,0.044971,0.979633
backdoor,20%,4,6,multikrum,0.49,0.959802,0.955694,0.947365,0.033853,0.978092
backdoor,20%,4,6,trimmedmean,0.41,0.958914,0.961091,0.953225,0.044448,0.97924
backdoor,20%,4,7,fedavg,0.42,0.959404,0.961618,0.953847,0.044016,0.979657
backdoor,20%,4,7,multikrum,0.53,0.957813,0.951688,0.942867,0.032728,0.977142
backdoor,20%,4,7,trimmedmean,0.42,0.958966,0.961236,0.95339,0.044539,0.979182
backdoor,20%,4,8,fedavg,0.42,0.95943,0.96139,0.953595,0.043598,0.979701
backdoor,20%,4,8,multikrum,0.52,0.958163,0.952477,0.943746,0.033055,0.977187
backdoor,20%,4,8,trimmedmean,0.51,0.959262,0.954541,0.946069,0.033447,0.979178
backdoor,20%,4,9,fedavg,0.41,0.959457,0.96185,0.954109,0.044239,0.979722
backdoor,20%,4,9,multikrum,0.52,0.959307,0.954675,0.946219,0.033539,0.978235
backdoor,20%,4,9,trimmedmean,0.45,0.959169,0.959072,0.95101,0.040681,0.979265
backdoor,20%,4,10,fedavg,0.47,0.959924,0.958953,0.950938,0.038575,0.979941
backdoor,20%,4,10,multikrum,0.53,0.959951,0.954956,0.946578,0.032335,0.978457
backdoor,20%,4,10,trimmedmean,0.52,0.960502,0.95562,0.947344,0.031956,0.979446
backdoor,20%,4,11,fedavg,0.44,0.960254,0.960648,0.952835,0.040354,0.980024
backdoor,20%,4,11,multikrum,0.52,0.960434,0.955398,0.947098,0.031786,0.978578
backdoor,20%,4,11,trimmedmean,0.44,0.960094,0.960222,0.952351,0.040105,0.979524
backdoor,20%,4,12,fedavg,0.5,0.960695,0.956674,0.948506,0.033094,0.980254
backdoor,20%,4,12,multikrum,0.52,0.960549,0.955967,0.947725,0.032375,0.978783
backdoor,20%,4,12,trimmedmean,0.51,0.960692,0.955932,0.947699,0.031956,0.97975
backdoor,20%,4,13,fedavg,0.44,0.960731,0.961441,0.95375,0.040367,0.980389
backdoor,20%,4,13,multikrum,0.53,0.960984,0.955753,0.947529,0.030936,0.978967
backdoor,20%,4,13,trimmedmean,0.5,0.961003,0.957283,0.949195,0.033251,0.979917
backdoor,20%,4,14,fedavg,0.5,0.961403,0.957248,0.94919,0.032178,0.980593
backdoor,20%,4,14,multikrum,0.47,0.960209,0.958202,0.950136,0.036691,0.978105
backdoor,20%,4,14,trimmedmean,0.49,0.961139,0.957786,0.949755,0.033683,0.980087
backdoor,20%,4,15,fedavg,0.43,0.961225,0.962671,0.955153,0.041008,0.98079
backdoor,20%,4,15,multikrum,0.53,0.961296,0.956529,0.948398,0.031341,0.979401
backdoor,20%,4,15,trimmedmean,0.49,0.961482,0.958817,0.950912,0.034402,0.980294
backdoor,20%,4,16,fedavg,0.41,0.961336,0.963387,0.95596,0.041832,0.981002
backdoor,20%,4,16,multikrum,0.45,0.960775,0.959677,0.951801,0.037528,0.978578
backdoor,20%,4,16,trimmedmean,0.47,0.961768,0.959728,0.951935,0.035082,0.980485
backdoor,20%,4,17,fedavg,0.41,0.96179,0.96328,0.955873,0.040511,0.98117
backdoor,20%,4,17,multikrum,0.51,0.961792,0.957143,0.949108,0.031027,0.979812
backdoor,20%,4,17,trimmedmean,0.43,0.961997,0.962265,0.954757,0.038418,0.98068
backdoor,20%,4,18,fedavg,0.42,0.962044,0.963342,0.95596,0.039961,0.98137
backdoor,20%,4,18,multikrum,0.46,0.962357,0.961945,0.954428,0.037005,0.980024
backdoor,20%,4,18,trimmedmean,0.42,0.962214,0.963377,0.956011,0.039582,0.980885
backdoor,20%,4,19,fedavg,0.47,0.96285,0.960978,0.953395,0.034258,0.981537
backdoor,20%,4,19,multikrum,0.44,0.961533,0.961137,0.953472,0.037855,0.979189
backdoor,20%,4,19,trimmedmean,0.46,0.962775,0.961583,0.954058,0.035383,0.981077
backdoor,20%,4,20,fedavg,0.47,0.963068,0.961201,0.953657,0.034049,0.981731
backdoor,20%,4,20,multikrum,0.53,0.962824,0.95742,0.949493,0.02883,0.980407
backdoor,20%,4,20,trimmedmean,0.42,0.962403,0.963748,0.956438,0.039674,0.981287
backdoor,30%,6,1,fedavg,0.49,0.961242,0.957821,0.949802,0.033473,0.981565
backdoor,30%,6,1,multikrum,0.4,0.96248,0.963425,0.956083,0.03898,0.979787
backdoor,30%,6,1,trimmedmean,0.47,0.961583,0.9574,0.94937,0.031956,0.981775
backdoor,30%,6,2,fedavg,0.4,0.960243,0.963653,0.956181,0.045023,0.981063
backdoor,30%,6,2,multikrum,0.41,0.961627,0.962409,0.954891,0.039582,0.979638
backdoor,30%,6,2,trimmedmean,0.37,0.960252,0.963184,0.955657,0.044278,0.981134
backdoor,30%,6,3,fedavg,0.42,0.95966,0.961684,0.95394,0.043467,0.980452
backdoor,30%,6,3,multikrum,0.42,0.960973,0.961138,0.953431,0.039281,0.978884
backdoor,30%,6,3,trimmedmean,0.4,0.959453,0.961309,0.953508,0.043415,0.980309
backdoor,30%,6,4,fedavg,0.4,0.959366,0.962445,0.954767,0.04539,0.980066
backdoor,30%,6,4,multikrum,0.48,0.96032,0.956022,0.947766,0.033042,0.978412
backdoor,30%,6,4,trimmedmean,0.4,0.959117,0.961434,0.953621,0.044461,0.979811
backdoor,30%,6,5,fedavg,0.41,0.959441,0.962358,0.954675,0.045063,0.979838
backdoor,30%,6,5,multikrum,0.46,0.96038,0.958424,0.950393,0.0366,0.978057
backdoor,30%,6,5,trimmedmean,0.42,0.959112,0.961281,0.953451,0.044239,0.979503
backdoor,30%,6,6,fedavg,0.41,0.95914,0.961649,0.953863,0.044736,0.97961
backdoor,30%,6,6,multikrum,0.45,0.960294,0.958655,0.950639,0.037175,0.977742
backdoor,30%,6,6,trimmedmean,0.41,0.958892,0.961148,0.953287,0.044592,0.979241
backdoor,30%,6,7,fedavg,0.4,0.959371,0.962275,0.954577,0.045115,0.979629
backdoor,30%,6,7,multikrum,0.42,0.960445,0.960454,0.952634,0.039569,0.977638
backdoor,30%,6,7,trimmedmean,0.41,0.958998,0.96134,0.953508,0.044618,0.979172
backdoor,30%,6,8,fedavg,0.42,0.95947,0.961498,0.953719,0.043663,0.979692
backdoor,30%,6,8,multikrum,0.53,0.958151,0.951966,0.943196,0.032296,0.977124
backdoor,30%,6,8,trimmedmean,0.42,0.959102,0.961079,0.953225,0.043951,0.979277
backdoor,30%,6,9,fedavg,0.4,0.959592,0.962293,0.954613,0.044579,0.979805
backdoor,30%,6,9,multikrum,0.47,0.956476,0.954457,0.945735,0.040406,0.9766
backdoor,30%,6,9,trimmedmean,0.5,0.959282,0.954863,0.946419,0.033892,0.979335
backdoor,30%,6,10,fedavg,0.47,0.959765,0.95902,0.950999,0.039085,0.979921
backdoor,30%,6,10,multikrum,0.47,0.956755,0.95529,0.946666,0.040982,0.976589
backdoor,30%,6,10,trimmedmean,0.46,0.959664,0.959862,0.95192,0.040641,0.979411
backdoor,30%,6,11,fedavg,0.44,0.960201,0.960967,0.953184,0.040982,0.980056
