Metric,p50,p95 / Detail,Component / Note
Fabric throughput max,627 TPS,fail=0,"5 workers, 200K tx"
Peer commit (internal),57 ms,p95=107ms,kvledger: validation+state commit
Client submit->commit (E2E),591 ms,p95=630ms,incl. BatchTimeout ~500ms + network
Chaincode duration,2 ms,p95=19ms,endorsement execution
Blocks/s,1.96,interval=510ms,orderer1
tx/block,127 (p50),p95=321,during BEST benchmark
IPFS add+replicate (cluster),108 ms,p95=123ms,"payload 5.6KB, cluster confirmed"
IPFS get (cluster confirmed),26.14 ms,p95=32.87ms,30 CIDs x 10 reps = 300 samples
FL round latency p50 (min),3.68 s,-,edge-client-4 (c4)
FL round latency p50 (max),9.18 s,-,edge-client-1 (c1)
Multi-Krum aggregation,0.69 ms,max=2.12ms,"N=5, f=1"
